,time,tavg,tmin,tmax,prcp
2,03-01-1990,21.0,16.4,26.5,0.0
4,05-01-1990,20.4,14.2,26.1,0.0
7,08-01-1990,20.0,16.6,25.1,0.0
9,10-01-1990,21.2,15.0,27.7,0.0
10,11-01-1990,21.8,16.0,28.5,0.0
12,13-01-1990,18.8,11.2,27.2,0.0
13,14-01-1990,19.8,11.5,29.0,0.0
14,15-01-1990,21.0,11.5,30.3,0.0
15,16-01-1990,22.1,12.6,29.7,0.0
18,19-01-1990,21.3,12.2,30.7,0.0
19,20-01-1990,20.3,13.0,30.7,0.0
21,22-01-1990,22.2,13.2,30.4,0.0
23,24-01-1990,21.5,14.5,29.0,0.0
24,25-01-1990,22.7,15.4,30.7,0.0
25,26-01-1990,22.7,14.0,30.4,0.0
26,27-01-1990,21.2,14.8,29.4,0.0
27,28-01-1990,19.2,14.0,29.7,0.0
28,29-01-1990,20.9,13.9,28.5,0.0
29,30-01-1990,21.4,14.3,30.0,0.0
31,01-02-1990,22.4,13.5,31.6,0.0
32,02-02-1990,22.4,14.5,31.9,0.0
35,05-02-1990,22.9,14.0,31.3,0.0
36,06-02-1990,22.3,15.9,29.7,0.0
37,07-02-1990,20.2,12.5,27.3,0.0
38,08-02-1990,22.3,16.9,28.0,0.0
41,11-02-1990,22.9,17.9,28.5,0.0
42,12-02-1990,23.2,17.0,29.5,0.0
44,14-02-1990,24.8,16.8,30.6,0.0
45,15-02-1990,24.7,19.4,31.5,0.0
47,17-02-1990,25.2,18.9,33.4,0.0
48,18-02-1990,23.9,18.8,32.6,0.0
49,19-02-1990,26.3,18.8,32.3,0.0
50,20-02-1990,24.8,18.8,31.0,0.0
51,21-02-1990,24.1,17.8,31.0,0.0
52,22-02-1990,24.3,16.4,31.9,0.0
53,23-02-1990,26.1,17.9,32.2,0.0
54,24-02-1990,25.6,18.8,31.5,0.0
55,25-02-1990,25.0,18.6,31.5,0.0
59,01-03-1990,26.0,21.4,31.5,0.0
60,02-03-1990,27.1,21.0,33.6,0.0
61,03-03-1990,25.9,20.9,31.6,0.0
63,05-03-1990,26.4,21.0,32.7,0.0
65,07-03-1990,26.7,21.8,32.4,0.0
66,08-03-1990,26.2,21.4,33.7,0.0
67,09-03-1990,26.3,20.5,31.5,0.0
68,10-03-1990,21.6,20.1,26.7,2.3
69,11-03-1990,23.1,20.0,28.5,1.0
70,12-03-1990,25.3,20.0,31.3,0.0
71,13-03-1990,26.4,21.5,32.7,0.3
72,14-03-1990,25.8,20.5,33.5,0.0
73,15-03-1990,28.1,21.0,34.6,0.0
76,18-03-1990,24.3,18.4,30.9,0.0
77,19-03-1990,26.2,18.0,32.0,0.0
78,20-03-1990,25.8,19.1,32.5,0.0
79,21-03-1990,26.9,20.3,33.5,0.0
80,22-03-1990,27.5,21.5,34.8,0.0
81,23-03-1990,27.8,22.1,33.8,0.0
84,26-03-1990,26.9,21.0,33.9,0.0
85,27-03-1990,27.1,21.0,34.0,0.0
87,29-03-1990,27.8,23.4,33.0,0.0
88,30-03-1990,28.7,23.3,33.9,0.0
89,31-03-1990,28.5,22.1,34.4,0.0
92,03-04-1990,29.1,23.6,36.2,0.0
94,05-04-1990,26.3,22.1,34.0,0.0
95,06-04-1990,26.7,20.9,33.2,0.0
98,09-04-1990,27.8,22.4,34.0,0.0
100,11-04-1990,29.4,23.6,34.4,0.0
101,12-04-1990,27.9,23.9,32.4,0.0
102,13-04-1990,29.7,24.0,35.1,0.0
105,16-04-1990,28.1,20.0,33.4,21.3
106,17-04-1990,26.7,21.2,32.0,8.4
107,18-04-1990,28.7,21.4,34.5,0.0
108,19-04-1990,28.2,22.6,34.4,0.0
109,20-04-1990,26.6,22.9,36.3,0.0
110,21-04-1990,28.7,22.1,36.3,0.0
112,23-04-1990,30.7,22.4,36.6,0.0
113,24-04-1990,30.0,24.2,36.4,0.0
114,25-04-1990,29.1,22.9,34.5,0.0
116,27-04-1990,29.9,22.2,35.1,182.1
117,28-04-1990,28.0,21.5,34.5,0.0
121,02-05-1990,27.1,20.4,33.3,3.0
122,03-05-1990,26.1,22.6,32.3,0.0
127,08-05-1990,25.2,21.1,31.1,0.0
128,09-05-1990,26.9,22.6,31.0,0.0
131,12-05-1990,27.1,23.0,30.7,1.0
132,13-05-1990,26.8,23.0,31.4,0.0
133,14-05-1990,26.9,22.5,33.7,0.0
134,15-05-1990,27.9,22.0,34.1,0.0
135,16-05-1990,27.6,20.9,34.6,0.0
137,18-05-1990,26.2,20.8,31.6,21.8
138,19-05-1990,26.4,21.4,32.5,0.0
139,20-05-1990,23.9,21.3,29.2,1.3
140,21-05-1990,24.8,21.4,28.0,2.3
141,22-05-1990,23.1,21.2,29.7,0.0
142,23-05-1990,24.2,21.6,31.5,2.0
144,25-05-1990,23.4,19.4,29.2,85.1
151,01-06-1990,25.5,20.0,32.0,0.0
152,02-06-1990,24.7,20.4,31.8,0.0
153,03-06-1990,22.9,19.8,28.6,15.0
162,12-06-1990,22.8,19.9,26.3,0.0
163,13-06-1990,23.8,20.1,28.2,1.5
164,14-06-1990,24.2,20.6,29.9,0.0
166,16-06-1990,23.6,20.2,28.8,0.0
168,18-06-1990,23.7,19.6,29.1,0.0
170,20-06-1990,23.7,20.8,29.1,0.0
173,23-06-1990,24.5,19.9,30.0,0.0
175,25-06-1990,23.5,19.6,27.8,0.0
177,27-06-1990,22.6,20.2,27.8,0.0
179,29-06-1990,23.1,19.8,26.8,5.6
180,30-06-1990,23.4,20.0,28.6,1.0
181,01-07-1990,22.7,19.6,28.3,0.0
182,02-07-1990,22.3,19.5,26.9,8.4
183,03-07-1990,22.2,19.4,27.0,1.0
184,04-07-1990,22.3,19.7,29.1,0.0
185,05-07-1990,24.0,19.2,30.0,0.0
187,07-07-1990,22.9,20.2,28.0,0.0
188,08-07-1990,21.5,19.6,23.5,0.5
189,09-07-1990,22.7,19.4,27.1,0.3
191,11-07-1990,22.3,19.4,27.0,1.8
192,12-07-1990,21.3,19.5,22.8,0.0
193,13-07-1990,22.4,18.4,27.7,0.0
195,15-07-1990,22.2,19.0,27.5,0.0
200,20-07-1990,23.8,19.4,29.4,2.0
203,23-07-1990,21.7,19.0,27.1,0.0
205,25-07-1990,22.9,19.2,27.0,0.0
210,30-07-1990,24.1,19.6,31.3,0.0
211,31-07-1990,23.9,20.0,29.4,2.3
212,01-08-1990,22.4,20.3,30.4,0.0
213,02-08-1990,21.8,20.2,25.4,8.4
214,03-08-1990,22.6,20.0,27.5,3.6
216,05-08-1990,22.9,20.2,28.5,2.0
218,07-08-1990,21.4,19.0,24.0,10.4
222,11-08-1990,21.8,19.0,26.0,25.9
223,12-08-1990,22.3,19.6,26.5,0.3
225,14-08-1990,20.3,18.7,22.2,4.1
227,16-08-1990,21.4,19.3,25.5,0.5
228,17-08-1990,22.3,19.4,26.2,0.0
229,18-08-1990,22.4,19.5,27.0,0.0
230,19-08-1990,22.4,19.0,27.2,0.0
232,21-08-1990,22.2,20.0,26.8,0.0
234,23-08-1990,22.8,20.0,27.5,0.0
235,24-08-1990,23.6,19.9,28.0,0.0
241,30-08-1990,23.3,19.2,28.0,0.0
242,31-08-1990,23.5,19.3,27.3,0.0
243,01-09-1990,23.0,19.0,28.4,0.0
244,02-09-1990,25.1,20.5,29.5,0.0
246,04-09-1990,21.9,19.5,26.7,0.3
252,10-09-1990,25.2,19.9,29.7,0.0
253,11-09-1990,24.0,20.2,28.8,0.0
254,12-09-1990,24.3,20.2,29.5,0.0
256,14-09-1990,24.4,19.6,28.6,0.0
257,15-09-1990,26.1,20.1,30.7,0.0
258,16-09-1990,25.3,21.0,30.7,0.0
259,17-09-1990,24.6,20.9,31.2,0.0
260,18-09-1990,24.6,20.3,29.7,9.1
264,22-09-1990,24.3,20.3,30.0,5.3
266,24-09-1990,22.3,19.4,28.0,17.5
267,25-09-1990,22.6,19.6,25.5,2.3
268,26-09-1990,24.8,19.5,29.5,0.0
269,27-09-1990,24.1,20.9,28.8,0.0
270,28-09-1990,22.8,20.5,26.6,0.0
274,02-10-1990,23.6,19.8,27.5,0.3
275,03-10-1990,22.8,19.7,26.2,0.0
276,04-10-1990,23.2,18.5,29.8,0.3
277,05-10-1990,24.1,18.9,30.5,0.0
278,06-10-1990,24.2,18.5,30.8,0.0
279,07-10-1990,25.1,19.7,31.0,0.0
281,09-10-1990,24.8,19.0,30.3,0.0
282,10-10-1990,24.9,20.8,28.8,0.0
286,14-10-1990,23.4,19.8,28.0,25.7
287,15-10-1990,23.5,20.0,28.5,0.0
288,16-10-1990,23.3,19.8,29.0,0.0
289,17-10-1990,24.3,20.0,29.5,0.3
290,18-10-1990,23.3,19.4,29.3,0.0
291,19-10-1990,22.1,19.4,25.5,0.3
293,21-10-1990,24.2,19.5,27.5,0.0
297,25-10-1990,22.5,19.9,26.3,0.0
299,27-10-1990,22.3,19.5,26.0,0.0
302,30-10-1990,20.9,19.4,24.0,8.9
304,01-11-1990,19.9,19.4,21.4,8.1
305,02-11-1990,21.7,18.2,26.0,3.0
306,03-11-1990,21.3,17.2,27.7,0.0
309,06-11-1990,23.1,18.3,27.6,0.0
316,13-11-1990,21.4,14.6,29.3,0.0
319,16-11-1990,21.8,20.4,26.0,0.0
323,20-11-1990,23.2,17.2,28.5,0.0
327,24-11-1990,21.9,20.0,29.5,0.0
332,29-11-1990,21.2,16.0,26.6,0.0
333,30-11-1990,22.4,16.1,27.6,0.0
334,01-12-1990,20.8,15.6,27.0,0.0
335,02-12-1990,20.3,16.6,26.5,0.0
339,06-12-1990,20.8,17.0,25.5,0.0
340,07-12-1990,20.8,17.0,26.1,0.0
341,08-12-1990,20.9,16.4,25.2,0.0
344,11-12-1990,20.6,14.7,26.5,0.0
345,12-12-1990,20.2,14.9,25.6,0.0
348,15-12-1990,19.7,15.6,27.5,0.0
349,16-12-1990,21.3,15.2,28.1,0.0
350,17-12-1990,22.6,15.1,29.3,0.0
351,18-12-1990,22.4,16.0,27.5,0.0
352,19-12-1990,21.4,16.0,28.1,0.0
353,20-12-1990,20.7,15.4,27.1,0.0
355,22-12-1990,20.4,16.4,27.0,0.0
356,23-12-1990,21.6,16.4,27.3,0.0
361,28-12-1990,20.7,13.6,25.4,0.0
364,31-12-1990,23.6,19.0,27.2,0.0
365,01-01-1991,23.6,20.0,27.6,0.3
367,03-01-1991,22.8,16.2,30.3,0.0
368,04-01-1991,22.9,17.9,29.0,0.0
369,05-01-1991,23.1,19.2,27.7,0.0
370,06-01-1991,22.7,17.5,28.5,0.0
374,10-01-1991,22.3,16.3,29.2,0.0
375,11-01-1991,21.9,17.2,29.0,0.0
381,17-01-1991,21.9,17.0,27.8,0.0
383,19-01-1991,21.7,17.2,28.5,0.0
387,23-01-1991,23.8,15.5,29.8,0.0
388,24-01-1991,21.2,16.1,28.9,0.0
389,25-01-1991,20.9,15.5,26.8,0.0
390,26-01-1991,21.2,14.2,28.0,0.0
391,27-01-1991,21.8,14.0,29.5,0.0
394,30-01-1991,19.1,13.9,28.8,0.0
395,31-01-1991,21.3,15.0,28.4,0.0
397,02-02-1991,24.6,19.2,30.6,0.0
398,03-02-1991,24.7,19.6,31.5,0.0
399,04-02-1991,23.6,18.7,31.0,0.0
400,05-02-1991,23.6,18.8,30.1,0.0
402,07-02-1991,22.7,15.7,29.3,0.0
403,08-02-1991,22.8,15.8,30.8,0.0
404,09-02-1991,22.7,15.4,30.2,0.0
405,10-02-1991,23.9,16.1,31.4,0.0
406,11-02-1991,24.4,16.6,33.0,0.0
407,12-02-1991,23.9,16.6,32.5,0.0
409,14-02-1991,24.3,17.2,32.1,0.0
410,15-02-1991,24.2,15.5,31.5,0.0
411,16-02-1991,25.1,16.3,32.0,0.0
412,17-02-1991,24.4,17.4,31.3,0.0
413,18-02-1991,25.6,17.3,31.4,0.0
414,19-02-1991,24.5,17.1,31.4,0.0
415,20-02-1991,24.3,17.8,30.3,0.0
416,21-02-1991,23.1,17.6,29.3,0.0
417,22-02-1991,23.9,16.0,29.4,0.0
418,23-02-1991,23.6,16.9,30.9,0.0
419,24-02-1991,24.3,17.7,30.2,0.0
420,25-02-1991,22.2,18.3,30.9,0.0
421,26-02-1991,24.2,18.2,30.3,0.0
423,28-02-1991,24.8,20.6,30.9,0.0
426,03-03-1991,25.6,19.5,31.3,0.0
427,04-03-1991,26.3,19.3,32.5,0.0
428,05-03-1991,26.9,20.6,32.4,0.0
430,07-03-1991,27.1,21.6,34.5,0.0
433,10-03-1991,27.6,20.7,34.3,0.0
435,12-03-1991,27.5,20.3,35.0,0.0
436,13-03-1991,28.9,20.9,35.4,0.0
438,15-03-1991,28.4,20.4,34.8,0.0
441,18-03-1991,27.1,19.5,34.0,0.0
442,19-03-1991,27.6,20.7,35.6,0.0
444,21-03-1991,28.7,21.3,34.7,0.0
445,22-03-1991,29.4,23.0,34.4,0.0
446,23-03-1991,27.7,20.8,35.6,0.0
447,24-03-1991,26.4,21.0,35.2,0.0
448,25-03-1991,28.5,21.8,35.3,0.0
449,26-03-1991,27.1,20.6,34.7,0.0
450,27-03-1991,26.7,20.0,34.8,0.0
451,28-03-1991,25.3,19.3,33.4,0.0
452,29-03-1991,26.6,20.2,33.8,0.0
453,30-03-1991,28.7,19.4,35.0,0.0
454,31-03-1991,28.7,21.8,35.6,0.0
455,01-04-1991,26.7,21.0,35.0,0.0
456,02-04-1991,27.4,22.8,34.5,0.0
457,03-04-1991,28.4,22.3,35.2,0.0
458,04-04-1991,27.7,22.5,33.6,0.0
461,07-04-1991,25.9,19.5,31.5,10.7
462,08-04-1991,25.4,20.1,31.2,0.0
463,09-04-1991,22.8,19.1,30.5,6.1
465,11-04-1991,27.3,20.1,32.5,7.9
468,14-04-1991,27.5,22.6,34.4,0.0
469,15-04-1991,28.5,23.0,34.4,0.0
470,16-04-1991,28.9,23.0,34.6,0.0
471,17-04-1991,27.7,23.6,34.6,0.0
472,18-04-1991,28.2,23.2,35.0,0.0
473,19-04-1991,29.5,23.2,35.7,0.0
475,21-04-1991,25.2,20.9,33.5,7.1
476,22-04-1991,26.9,20.7,34.4,0.0
477,23-04-1991,29.2,23.2,34.3,0.3
478,24-04-1991,28.7,22.7,34.1,0.0
481,27-04-1991,27.7,22.4,34.2,1.3
482,28-04-1991,27.2,22.1,33.6,0.0
484,30-04-1991,27.9,22.0,34.6,0.0
485,01-05-1991,26.6,22.1,32.6,0.0
486,02-05-1991,29.4,22.5,36.6,0.0
488,04-05-1991,23.9,21.5,32.1,18.8
489,05-05-1991,26.7,20.9,33.2,1.3
491,07-05-1991,28.3,22.5,34.6,12.2
494,10-05-1991,26.9,19.8,32.2,91.9
498,14-05-1991,27.2,23.2,33.3,0.0
502,18-05-1991,29.6,23.4,35.2,0.0
505,21-05-1991,29.7,23.0,35.1,0.0
509,25-05-1991,26.8,20.2,33.6,0.0
517,02-06-1991,27.3,21.9,30.9,0.0
523,08-06-1991,22.4,20.3,26.6,0.0
527,12-06-1991,23.2,20.9,27.2,0.0
528,13-06-1991,25.0,21.6,29.0,0.0
529,14-06-1991,25.9,21.3,30.6,7.9
530,15-06-1991,24.3,21.7,31.2,0.5
532,17-06-1991,23.4,21.0,26.6,0.5
537,22-06-1991,24.7,20.1,29.6,10.9
542,27-06-1991,22.5,19.5,26.6,3.3
543,28-06-1991,22.2,19.7,26.9,0.5
544,29-06-1991,24.2,20.3,27.9,0.0
546,01-07-1991,22.4,19.4,26.4,0.0
547,02-07-1991,24.2,19.3,29.0,0.0
549,04-07-1991,22.8,20.2,26.3,0.0
551,06-07-1991,21.8,19.9,26.8,10.9
552,07-07-1991,22.4,19.5,25.9,0.0
556,11-07-1991,21.6,20.1,26.4,0.8
557,12-07-1991,21.9,19.3,26.6,6.4
558,13-07-1991,22.8,19.4,28.1,0.0
559,14-07-1991,22.2,18.3,28.2,0.3
560,15-07-1991,22.6,19.6,25.6,0.0
561,16-07-1991,22.3,19.8,26.2,0.5
563,18-07-1991,22.3,19.1,27.7,0.0
566,21-07-1991,22.9,19.7,27.6,0.0
567,22-07-1991,22.8,19.8,28.1,0.5
568,23-07-1991,23.2,19.5,27.8,0.0
570,25-07-1991,22.7,19.8,28.6,0.0
571,26-07-1991,22.5,20.0,27.4,0.5
572,27-07-1991,21.4,19.9,24.1,1.0
574,29-07-1991,21.9,19.7,26.6,2.8
576,31-07-1991,22.2,20.2,27.5,0.0
578,02-08-1991,22.3,19.7,25.6,5.6
580,04-08-1991,22.0,19.7,27.6,6.9
581,05-08-1991,22.4,19.5,25.5,47.2
584,08-08-1991,22.8,19.1,26.3,3.8
586,10-08-1991,22.4,18.9,26.1,2.8
593,17-08-1991,22.1,19.7,26.5,0.0
595,19-08-1991,22.6,18.5,26.6,15.0
596,20-08-1991,22.5,17.8,26.8,0.0
598,22-08-1991,22.4,19.4,26.6,0.0
601,25-08-1991,22.3,18.7,27.4,0.0
603,27-08-1991,23.1,18.9,27.3,0.0
604,28-08-1991,22.7,19.0,27.3,0.0
606,30-08-1991,23.2,18.6,27.6,1.8
609,02-09-1991,25.2,20.1,30.5,0.0
611,04-09-1991,24.2,19.3,29.6,11.2
614,07-09-1991,23.5,19.0,28.0,0.0
618,11-09-1991,24.6,20.4,29.5,3.8
620,13-09-1991,21.7,19.9,27.1,71.1
621,14-09-1991,23.3,19.7,29.6,46.5
622,15-09-1991,22.6,20.7,28.1,0.0
623,16-09-1991,22.8,20.1,28.0,7.1
624,17-09-1991,22.8,20.3,27.2,0.8
627,20-09-1991,22.9,18.9,27.2,0.0
628,21-09-1991,20.8,20.2,25.6,18.5
629,22-09-1991,23.0,19.2,28.3,13.0
630,23-09-1991,22.5,19.9,26.6,3.3
631,24-09-1991,23.3,19.7,27.8,1.8
632,25-09-1991,24.1,19.4,29.4,0.8
633,26-09-1991,25.2,20.8,31.0,0.0
636,29-09-1991,23.4,19.4,29.9,2.5
637,30-09-1991,25.1,19.5,30.6,0.5
639,02-10-1991,23.1,19.4,29.4,7.9
640,03-10-1991,23.8,19.0,29.4,0.0
641,04-10-1991,25.6,20.0,30.7,0.0
644,07-10-1991,24.2,19.4,28.6,23.6
645,08-10-1991,22.9,11.8,27.4,0.3
646,09-10-1991,23.2,20.2,28.7,0.0
647,10-10-1991,21.9,19.0,24.7,3.3
648,11-10-1991,23.7,19.0,28.6,0.8
651,14-10-1991,23.7,18.8,28.3,0.0
652,15-10-1991,23.7,19.0,28.7,0.0
653,16-10-1991,23.7,20.1,28.8,0.0
656,19-10-1991,23.4,19.4,28.5,0.0
658,21-10-1991,23.3,19.6,27.5,0.0
660,23-10-1991,22.6,19.2,26.8,0.0
661,24-10-1991,21.9,18.4,28.0,3.3
666,29-10-1991,19.8,19.2,20.6,50.8
668,31-10-1991,20.8,19.1,22.8,51.3
670,02-11-1991,22.4,20.0,26.0,0.0
671,03-11-1991,22.7,20.0,27.4,0.0
673,05-11-1991,22.9,19.2,28.6,0.0
675,07-11-1991,21.4,17.0,27.0,0.0
678,10-11-1991,21.9,18.7,26.8,0.0
680,12-11-1991,22.4,17.6,26.9,0.0
681,13-11-1991,23.1,17.7,27.5,0.0
684,16-11-1991,19.4,18.4,20.1,255.0
685,17-11-1991,20.5,18.8,22.6,36.3
686,18-11-1991,21.1,18.8,24.6,2.0
689,21-11-1991,21.2,17.5,24.8,0.0
690,22-11-1991,20.2,17.1,25.8,0.0
693,25-11-1991,20.4,17.2,24.4,0.0
694,26-11-1991,21.3,17.0,27.4,0.0
697,29-11-1991,20.6,12.2,28.0,0.0
698,30-11-1991,21.5,13.0,28.6,0.0
700,02-12-1991,20.7,15.2,25.6,0.0
701,03-12-1991,18.9,15.7,24.7,0.0
702,04-12-1991,18.9,14.8,24.6,0.0
703,05-12-1991,18.8,13.5,24.7,0.0
704,06-12-1991,19.2,13.9,25.8,0.0
705,07-12-1991,18.6,13.5,25.5,0.0
706,08-12-1991,18.3,13.3,25.6,0.0
707,09-12-1991,18.2,12.7,25.3,0.0
708,10-12-1991,20.8,14.5,25.7,0.0
709,11-12-1991,19.8,14.8,24.8,0.0
710,12-12-1991,19.8,14.8,24.6,0.0
711,13-12-1991,18.9,16.1,23.5,0.0
713,15-12-1991,19.5,15.2,24.8,0.0
714,16-12-1991,20.0,17.2,23.1,0.0
715,17-12-1991,20.8,15.9,26.6,0.0
716,18-12-1991,19.8,16.8,26.1,0.0
717,19-12-1991,20.4,15.8,27.2,0.0
718,20-12-1991,20.3,17.2,27.3,0.0
720,22-12-1991,21.2,17.3,26.4,0.0
721,23-12-1991,21.9,17.7,28.9,0.0
723,25-12-1991,22.1,17.5,28.3,0.0
725,27-12-1991,20.8,14.1,27.7,0.0
726,28-12-1991,21.1,15.0,27.6,0.0
728,30-12-1991,21.3,17.8,26.7,0.0
729,31-12-1991,21.7,19.1,28.0,0.0
730,01-01-1992,22.2,18.9,26.8,0.0
736,07-01-1992,17.6,10.2,26.2,0.0
737,08-01-1992,19.4,10.0,27.8,0.0
738,09-01-1992,19.3,11.2,27.8,0.0
739,10-01-1992,17.5,11.9,25.8,0.0
740,11-01-1992,18.9,13.0,25.0,0.0
741,12-01-1992,19.1,14.5,26.2,0.0
742,13-01-1992,19.7,12.4,26.8,0.0
743,14-01-1992,18.0,12.2,27.4,0.0
744,15-01-1992,19.8,13.0,25.5,0.0
745,16-01-1992,18.7,13.6,26.2,0.0
747,18-01-1992,20.0,15.2,26.0,0.0
749,20-01-1992,19.8,14.0,26.8,0.0
751,22-01-1992,18.9,13.7,27.6,0.0
752,23-01-1992,21.2,14.3,28.4,0.0
753,24-01-1992,20.9,13.9,28.0,0.0
754,25-01-1992,20.4,13.5,27.5,0.0
756,27-01-1992,19.2,12.0,26.4,0.0
757,28-01-1992,19.6,13.2,25.3,0.0
761,01-02-1992,22.7,17.2,29.8,0.0
763,03-02-1992,22.7,18.5,29.1,0.0
764,04-02-1992,21.7,18.2,29.5,0.0
765,05-02-1992,23.9,16.1,29.6,0.0
766,06-02-1992,21.7,16.0,28.8,0.0
767,07-02-1992,22.7,16.7,30.3,0.0
768,08-02-1992,23.8,16.8,30.9,0.0
769,09-02-1992,24.8,18.1,31.1,0.0
770,10-02-1992,24.4,18.3,31.4,0.0
771,11-02-1992,23.8,18.8,30.6,0.0
772,12-02-1992,22.7,18.6,28.6,0.0
776,16-02-1992,25.3,18.5,31.8,0.0
780,20-02-1992,25.2,18.8,30.9,0.0
782,22-02-1992,25.1,20.0,30.2,0.0
783,23-02-1992,24.1,15.2,30.5,0.0
784,24-02-1992,23.8,18.6,30.8,0.0
785,25-02-1992,23.4,18.7,28.7,0.0
786,26-02-1992,23.1,17.7,30.2,0.0
787,27-02-1992,22.3,16.2,29.6,0.0
788,28-02-1992,23.5,16.7,30.6,0.0
789,29-02-1992,24.2,16.3,32.2,0.0
791,02-03-1992,25.5,17.6,33.6,0.0
792,03-03-1992,25.5,17.9,32.9,0.0
793,04-03-1992,25.3,18.1,33.6,0.0
794,05-03-1992,25.7,17.5,33.1,0.0
795,06-03-1992,25.3,16.7,33.2,0.0
801,12-03-1992,23.2,18.1,32.6,0.0
802,13-03-1992,25.2,16.9,32.0,0.0
803,14-03-1992,22.9,15.4,31.8,0.0
805,16-03-1992,24.6,16.6,34.2,0.0
824,04-04-1992,26.6,20.0,34.4,0.0
825,05-04-1992,28.4,21.2,36.0,0.0
826,06-04-1992,27.3,21.7,35.7,0.0
827,07-04-1992,29.6,22.0,36.3,0.0
828,08-04-1992,29.4,22.6,36.0,0.0
829,09-04-1992,29.3,22.4,36.1,0.0
830,10-04-1992,27.9,22.6,34.8,0.0
831,11-04-1992,27.7,22.0,34.6,0.0
833,13-04-1992,27.0,19.3,34.4,0.0
834,14-04-1992,27.1,20.0,35.0,0.0
835,15-04-1992,27.6,20.6,35.2,0.0
836,16-04-1992,27.9,22.0,34.6,0.0
839,19-04-1992,27.4,21.6,34.4,0.0
840,20-04-1992,27.6,22.5,34.8,0.0
841,21-04-1992,28.3,22.7,34.7,0.0
843,23-04-1992,27.8,22.9,34.5,0.0
844,24-04-1992,25.7,20.6,33.1,0.3
846,26-04-1992,24.1,19.9,31.6,5.1
847,27-04-1992,27.2,20.9,32.6,1.0
848,28-04-1992,28.9,22.1,34.0,0.0
849,29-04-1992,28.1,22.4,33.6,0.0
850,30-04-1992,27.7,22.9,33.6,0.0
855,05-05-1992,25.7,20.7,33.1,0.0
857,07-05-1992,27.3,21.9,32.2,0.0
861,11-05-1992,23.8,19.8,31.4,12.7
862,12-05-1992,25.9,21.3,31.6,0.0
863,13-05-1992,25.8,20.6,33.0,0.0
865,15-05-1992,24.1,21.0,31.9,0.0
866,16-05-1992,24.9,20.4,30.6,3.6
867,17-05-1992,25.7,22.0,32.2,0.0
870,20-05-1992,26.1,20.0,32.7,0.0
871,21-05-1992,26.3,20.7,33.6,0.0
872,22-05-1992,28.4,21.2,35.0,0.0
873,23-05-1992,27.6,21.8,35.2,0.0
874,24-05-1992,27.8,22.2,34.1,0.0
876,26-05-1992,26.5,21.2,34.1,0.0
880,30-05-1992,24.1,19.7,30.7,11.2
882,01-06-1992,25.7,20.1,31.2,20.8
884,03-06-1992,25.4,19.9,32.3,18.0
887,06-06-1992,24.6,19.5,28.3,0.0
890,09-06-1992,24.6,18.4,30.1,15.2
892,11-06-1992,25.7,19.8,30.7,29.7
893,12-06-1992,24.6,21.5,30.5,0.0
894,13-06-1992,25.2,21.3,30.7,0.0
898,17-06-1992,22.9,20.3,27.1,0.0
899,18-06-1992,22.1,19.8,27.1,1.5
900,19-06-1992,22.3,20.6,25.2,0.0
902,21-06-1992,22.6,19.6,25.9,13.0
904,23-06-1992,23.8,19.7,28.3,1.5
906,25-06-1992,24.0,19.5,29.0,2.8
907,26-06-1992,22.4,19.8,29.3,0.0
908,27-06-1992,21.6,20.1,27.4,0.5
909,28-06-1992,22.3,20.3,27.2,0.8
911,30-06-1992,22.6,20.5,28.1,0.0
912,01-07-1992,24.5,19.8,27.2,12.7
913,02-07-1992,21.4,20.3,23.7,0.0
915,04-07-1992,23.4,18.4,28.0,25.9
916,05-07-1992,25.2,20.6,29.3,0.0
918,07-07-1992,22.7,19.4,26.7,35.8
919,08-07-1992,23.1,19.8,28.3,0.0
920,09-07-1992,22.7,19.0,26.7,0.0
921,10-07-1992,22.9,19.9,27.5,0.0
923,12-07-1992,23.2,19.9,28.6,0.0
925,14-07-1992,23.7,20.0,28.9,0.8
926,15-07-1992,23.4,19.5,28.5,0.8
931,20-07-1992,22.4,19.7,26.8,0.0
938,27-07-1992,22.1,20.0,26.6,0.0
939,28-07-1992,21.9,19.4,26.9,0.5
940,29-07-1992,23.1,19.8,28.9,0.0
942,31-07-1992,23.9,19.8,30.0,0.0
945,03-08-1992,20.7,19.2,26.1,10.9
946,04-08-1992,22.3,19.5,27.6,0.0
947,05-08-1992,23.4,20.0,29.2,0.3
948,06-08-1992,22.6,19.6,29.2,10.2
949,07-08-1992,24.8,21.2,28.4,7.1
955,13-08-1992,22.1,19.4,26.0,0.0
957,15-08-1992,21.8,9.3,26.5,2.3
960,18-08-1992,22.1,19.3,26.0,1.5
963,21-08-1992,21.6,18.1,27.2,14.7
964,22-08-1992,22.2,17.8,28.0,1.0
965,23-08-1992,22.4,19.0,27.6,4.3
966,24-08-1992,23.9,19.3,29.1,4.6
967,25-08-1992,23.9,20.1,29.6,0.0
968,26-08-1992,23.1,19.3,29.6,0.0
969,27-08-1992,22.4,19.8,27.7,0.0
970,28-08-1992,21.5,19.5,27.1,0.5
972,30-08-1992,21.9,19.3,28.0,9.9
973,31-08-1992,22.3,19.3,27.5,0.5
974,01-09-1992,21.7,19.5,27.4,2.3
975,02-09-1992,22.5,19.5,27.1,6.6
976,03-09-1992,22.1,19.2,28.0,0.0
977,04-09-1992,23.0,19.5,27.5,0.0
